ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Ο12Α,"Λοιπές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα",583.00,1,216.72,Ο
Ο13Α,Επεμβάσεις δακρυϊκής συσκευής,336.00,1,131.55,Ο
Ο14Α,Λοιπές επεμβάσεις οφθαλμού,406.00,2,224.30,Ο
Ο15Α,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη,1026.00,2,188.60,Ο
Ο15Β,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη την ίδια μέρα,687.00,1,97.96,Ο
Ο16Α,Επεμβάσεις φακού (από καταράκτη κ.λπ.),592.00,1,216.23,Ο
Ο17Α,Μεταμοσχεύσεις Κερατοειδούς,2423.00,10,144.79,Ο
Ο20Μ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,1860.00,8,237.03,Ο
Ο20Χ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,1035.00,4,93.51,Ο
Ο21Μ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,934.00,5,192.28,Ο
Ο61Χ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,482.00,2,151.52,Ο
Ο22Α,Ύφαιμα και ιατρική αντιμετώπιση τραυματισμών του οφθαλμού,327.00,2,258.43,Ο
Ο23Α,Λοιπές δυσλειτουργίες οφθαλμού,420.00,2,125.97,Ο
Ω01Α,Κοχλιακά εμφυτεύματα,24000.00,1,102.55,Ω
Ω02Μα,Επεμβάσεις κεφαλής και τραχήλου με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις,5420.00,11,246.44,Ω
Ω02Μβ,Επεμβάσεις κεφαλής και τραχήλου με κακοήθεια ή μετριοπαθείς συνυπάρχουσες παθήσεις,2570.00,4,201.67,Ω
Ω02Χ,Επεμβάσεις κεφαλής και τραχήλου χωρίς κακοήθεια χωρίς μετριοπαθείς συνυπάρχουσες παθήσεις,1609.00,2,130.56,Ω
Ω03Α,Χειρουργική διόρθωση ή επισκευή παθήσεων του λαγώχειλου ή λυκοστόματος,1281.00,2,160.45,Ω
Ω04Μ,Γναθοχειρουργική με συνυπάρχουσες παθήσεις-επιπλοκές,3125.00,4,218.91,Ω
Ω04Χ,Γναθοχειρουργική χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1934.00,2,177.79,Ω
Ω05Α,Επεμβάσεις της παρωτίδος,1859.00,2,248.43,Ω
Ω06Α,Επεμβάσεις παραρηνίων κόλπων και σύνθετες επεμβάσεις μέσου ωτός,1125.00,1,289.96,Ω
Ω10Α,Επεμβάσεις ρινικές,787.00,1,233.99,Ω
Ω11Α,Αμυγδαλεκτομές και / ή Αδενοηδεκτομές,526.00,1,214.71,Ω
Ω12Α,Άλλες επεμβάσεις του ΩΡΛ και στόματος,946.00,1,120.95,Ω
Ω13Α,Τυμπανοτωμή ( Μυριγγεκτομή ) με εισαγωγή σωλήνα,347.00,1,215.96,Ω
Ω14Α,Επεμβάσεις του στόματος και σιαλογόνων αδένων,740.00,2,204.82,Ω
Ω15Α,Επεμβάσεις μαστοειδούς,2145.00,2,73.35,Ω
Ω20Α,Οδοντικές εξαγωγές και αποκαταστάσεις,557.00,1,288.00,Ω
