ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Μ03Μ,Αντικατάσταση ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6307.00,15,197.40,Μ
Μ03Χ,Αντικατάσταση ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6411.00,7,240.05,Μ
Μ04Μ,Αντικατάσταση γόνατος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,7042.00,9,199.20,Μ
Μ04Χ,Αντικατάσταση γόνατος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,6611.00,6,295.13,Μ
Μ05Μ,Αντικατάσταση άλλων αρθρώσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,7705.00,11,258.16,Μ
Μ05Χ,Αντικατάσταση άλλων αρθρώσεων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,6101.00,5,124.06,Μ
Μ06Α,Σπονδυλοδεσία με παραμόρφωση,19980.00,9,140.22,Μ
Μ07Α,Ακρωτηριασμός,5235.00,21,125.57,Μ
Μ08Μ,Λοιπές επεμβάσεις ισχίου και μηριαίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4449.00,17,227.00,Μ
Μ08Χ,Λοιπές επεμβάσεις ισχίου και μηριαίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3014.00,9,81.65,Μ
Μ09Μ,Σπονδυλοδεσία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,14720.00,18,61.38,Μ
Μ09Χ,Σπονδυλοδεσία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,9783.00,7,63.63,Μ
Μ10Μ,Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3391.00,10,123.03,Μ
Μ10Χ,Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1908.00,4,286.02,Μ
Μ11Α,Επεμβάσεις διατατικής επιμηκύνσεως άκρων,4045.00,4,209.47,Μ
Μ12Μα,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με σοβαρής και μέτριας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,5478.00,24,238.20,Μ
Μ12Μβ,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2993.00,14,75.65,Μ
Μ12Χ,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1665.00,6,53.07,Μ
Μ13Μ,"Επεμβάσεις βραχιονίου, κνήμης, περόνης και αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές",3893.00,11,121.08,Μ
Μ13Χ,"Επεμβάσεις Βραχιονίου, κνήμης, περόνης και αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",2083.00,4,169.68,Μ
Μ15Α,Κρανιοπροσωπικές επεμβάσεις,3761.00,6,135.18,Μ
Μ16Α,Λοιπές επεμβάσεις ώμου,1588.00,2,291.37,Μ
Μ17Μ,Γναθοπροσωπικές επεμβάσεις με συνυπάρχουσες παθήσεις - επιπλοκές,2708.00,3,113.12,Μ
Μ17Χ,Γναθοπροσωπικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1764.00,2,265.43,Μ
Μ18Α,Λοιπές επεμβάσεις γόνατος,743.00,1,78.52,Μ
Μ19Μ,Λοιπές επεμβάσεις αγκώνος και αντιβραχίου με συνυπάρχουσες παθήσεις - επιπλοκές,2648.00,6,66.34,Μ
Μ19Χ,Λοιπές επεμβάσεις αγκώνος και αντιβραχίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1904.00,2,172.94,Μ
Μ20Α,Λοιπές επεμβάσεις άκρου ποδός,1286.00,2,194.26,Μ
Μ21Α,Τοπική Εκτομή και Αφαίρεση υλικών εσωτερικής οστεοσύνθεσης ισχίου και μηριαίου,1052.00,2,221.61,Μ
Μ23Α,Τοπική εκτομή και αφαίρεση υλικών εσωτερικής οστεοσύνθεσης εκτός ισχίου και μηριαίου,661.00,1,87.93,Μ
Μ24Α,Αρθροσκόπηση,710.00,1,252.79,Μ
Μ25Μ,Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας με συνυπάρχουσες παθήσεις - επιπλοκές,2864.00,11,287.28,Μ
Μ25Χ,Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1260.00,3,71.30,Μ
Μ27Μ,Επεμβάσεις μαλακών μορίων με συνυπάρχουσες παθήσεις - επιπλοκές,2179.00,9,112.05,Μ
Μ27Χ,Επεμβάσεις μαλακών μορίων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,902.00,2,189.52,Μ
Μ28Μ,Λοιπές επεμβάσεις μυοσκελετικού με συνυπάρχουσες παθήσεις - επιπλοκές,2639.00,11,154.04,Μ
Μ28Χ,Λοιπές επεμβάσεις μυοσκελετικού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1379.00,2,199.03,Μ
Μ29Α,Ανακατασκευή ή αναθεώρηση πρόθεσης γόνατος,1903.00,1,204.60,Μ
Μ30Α,Επεμβάσεις χειρός,891.00,1,243.92,Μ
Μ31Μ,Επανεπεμβαση Ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,11675.00,23,145.09,Μ
Μ31Χ,Επανεπεμβαση Ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,8533.00,11,277.13,Μ
Μ32Μα,Επανεπεμβαση γόνατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,12912.00,27,124.34,Μ
Μ32Μβ,Επανεπεμβαση γόνατος με συνυπάρχουσες παθήσεις - επιπλοκές,9963.00,12,197.13,Μ
Μ32Χ,Επανεπεμβαση γόνατος χωρίς καταστροφικές η συνυπάρχουσες παθήσεις - επιπλοκές,9147.00,9,157.21,Μ
Μ60Α,Κατάγματα διάφυσης μηριαίου,1720.00,7,192.16,Μ
Μ61Μ,Κατάγματα περιφερικού μηριαίου με συνυπάρχουσες παθήσεις - επιπλοκές,2210.00,13,65.06,Μ
Μ61Χ,Κατάγματα περιφερικού μηριαίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,856.00,4,290.03,Μ
Μ63Μ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού με συνυπάρχουσες παθήσεις - επιπλοκές",1198.00,7,74.81,Μ
Μ63Χ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",444.00,2,240.68,Μ
Μ64Μ,Οστεομυελίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2669.00,15,206.38,Μ
Μ64Χ,Οστεομυελίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1175.00,8,116.16,Μ
Μ65Μ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2560.00,12,70.30,Μ
Μ65Χ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1222.00,5,109.97,Μ
Μ66Μ,Φλεγμονώδεις παθήσεις μυοσκελετικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2436.00,10,188.00,Μ
Μ66Χ,Φλεγμονώδεις παθήσεις μυοσκελετικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,652.00,2,89.13,Μ
Μ67Μ,Σηπτική αρθρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2428.00,12,152.13,Μ
Μ67Χ,Σηπτική αρθρίτιδα με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,996.00,7,222.34,Μ
Μ68Μ,Μη χειρουργικές σκελετικές παθήσεις με συνυπάρχουσες παθήσεις - επιπλοκές,1712.00,9,167.48,Μ
Μ68Χ,Μη χειρουργικές παθήσεις νωτιαιου σωλήνα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,731.00,4,58.16,Μ
Μ68Α,Μη χειρουργικές παθήσεις νωτιαιου σωλήνα μιας ημέρας θεραπειών,151.00,1,122.03,Μ
Μ69Μ,Παθήσεις οστών και αρθροπάθειες με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1533.00,9,120.68,Μ
Μ69Χ,Παθήσεις οστών και αρθροπάθειες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,428.00,2,264.90,Μ
Μ71Μ,Λοιπές παθήσεις μυών-τενόντων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1323.00,7,67.79,Μ
Μ71Χ,Λοιπές παθήσεις μυών-τενόντων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,405.00,2,108.36,Μ
Μ72Μ,Ειδικές παθήσεις μυών - τενόντων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1681.00,9,116.14,Μ
Μ72Χ,Ειδικές παθήσεις μυών - τενόντων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,490.00,3,247.81,Μ
Μ73Μ,Μετεγχειρητική παρακολούθηση μυοσκελετικών μοσχευμάτων/ προθέσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2249.00,18,197.45,Μ
Μ73Χ,Μετεγχειρητική παρακολούθηση μυοσκελετικών μοσχευμάτων/ προθέσεων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,584.00,4,250.98,Μ
Μ74Α,"Κακώσεις αντιβραχίου καρπού, χειρός ή ποδός",350.00,2,99.45,Μ
Μ75Μ,"Κάκωση ώμου, Βραχιονίου, αγκώνα, γόνατος, ποδιού ή αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές",1455.00,8,78.69,Μ
Μ75Χ,"Κάκωση ώμου, Βραχιονίου, αγκώνα, γόνατος, ποδιού ή αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",405.00,2,106.20,Μ
Μ76Μ,Λοιπές μυοσκελετικές παθήσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1292.00,7,87.25,Μ
Μ76Χ,Λοιπές μυοσκελετικές παθήσεις με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,389.00,2,116.41,Μ
Μ77Μ,Κατάγματα λεκάνης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2257.00,13,85.56,Μ
Μ77Χ,Κατάγματα λεκάνης με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1058.00,6,64.91,Μ
Μ78Μ,Κατάγματα αυχένος του μηριαίου με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1463.00,8,248.16,Μ
Μ78Χ,Κατάγματα αυχένος του μηριαίου χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις ή επιπλοκές,475.00,2,198.76,Μ
Μ79Μ,Παθολογικά κατάγματα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2942.00,17,256.06,Μ
Μ79Χ,Παθολογικά κατάγματα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1370.00,8,280.30,Μ
Δ01Μ,"Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος, υποδορίου ιστού και μαστού με καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",8557.00,15,159.79,Δ
Δ01Χ,"Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος, υποδορίου ιστού και μαστού χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",6452.00,9,167.17,Δ
Δ06Α,Μείζονες επεμβάσεις μαστού,1383.00,3,126.02,Δ
Δ07Α,Ελάσσονες επεμβάσεις μαστού,605.00,1,150.63,Δ
Δ08Μ,Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός με συνυπάρχουσες παθήσεις – επιπλοκές,2294.00,11,118.06,Δ
Δ08Χ,Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,791.00,2,185.00,Δ
Δ09Α,Περιοδικές επεμβάσεις και επεμβάσεις τριχοφωλεακού συριγγίου,688.00,2,159.44,Δ
Δ10Α,"Χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού",672.00,1,199.51,Δ
Δ11Α,"Άλλες χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού",404.00,1,272.36,Δ
Δ12Μ,"Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",4871.00,23,233.63,Δ
Δ12Χα,"Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού",3097.00,13,200.93,Δ
Δ12Χβ,Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού,1774.00,8,56.47,Δ
Δ13Μ,Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ή με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού,2856.00,12,107.23,Δ
Δ13Χ,"Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές, χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού",915.00,4,218.57,Δ
Δ14Α,Εκτεταμένη πλαστική αποκατάσταση στήθους,4198.00,8,265.13,Δ
Δ20Μ,Δερματικά έλκη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2669.00,16,196.78,Δ
Δ20Χ,Δερματικά έλκη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1471.00,9,55.19,Δ
Δ20Α,"Δερματικά έλκη, την ίδια ημέρα",171.00,1,241.19,Δ
Δ22Μ,κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές,965.00,5,255.36,Δ
Δ22Χ,κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,688.00,2,194.06,Δ
Δ23Μ,μη-κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές,965.00,5,240.78,Δ
Δ23Χ,μη-κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,366.00,2,93.80,Δ
Δ24Μ,Κυτταρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1619.00,9,179.74,Δ
Δ24Χ,Κυτταρίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,802.00,4,160.56,Δ
Δ25Μ,"Τραύμα στο δέρμα , υποδορίου και του μαστού με καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",1105.00,6,119.54,Δ
Δ25Χ,"Τραύμα στο δέρμα , υποδορίου και του μαστού χωρίς καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",350.00,2,299.24,Δ
Δ27Μ,Ελάσσονες παθήσεις του δέρματος,708.00,3,158.97,Δ
Δ27Χ,Ελάσσονες παθήσεις του δέρματος την ίδια ημέρα,199.00,1,253.56,Δ
Δ28Μ,Μείζονες παθήσεις με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1969.00,10,292.26,Δ
Δ28Χ,Μείζονες παθήσεις χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,965.00,4,167.50,Δ
Δ28Α,Μείζονες (μεγάλης βαρύτητας) παθήσεις την ίδια ημέρα,382.00,1,152.09,Δ
Δ29Μ,Κακοήθειες του δέρματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2171.00,11,130.26,Δ
Δ29Χ,Κακοήθειες του δέρματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1377.00,7,76.15,Δ
Δ29Α,Κακοήθειες του δέρματος την ίδια ημέρα,161.00,1,90.21,Δ
Θ01Μ,Διαβητικες επιπλοκές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6202.00,27,152.91,Θ
Θ01Χ,Διαβητικες επιπλοκες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2801.00,12,173.87,Θ
Θ02Μ,Επεμβάσεις υποφύσεως με συνυπάρχουσες παθήσεις - επιπλοκές,5135.00,10,215.65,Θ
Θ02Χ,Επεμβάσεις υποφύσεως χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,3515.00,6,150.11,Θ
Θ03Α,Επεμβάσεις επινεφριδίου,3297.00,6,240.12,Θ
Θ04Μ,Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια με συνυπάρχουσες παθήσεις - επιπλοκές,4378.00,8,59.17,Θ
Θ04Χ,Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,2848.00,2,72.01,Θ
Θ05Μ,Επεμβάσεις παραθυρεοειδών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2587.00,8,113.10,Θ
Θ05Χ,Επεμβάσεις παραθυρεοειδών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1218.00,2,78.98,Θ
Θ06Μ,Επεμβάσεις του θυρεοειδούς με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2620.00,5,243.14,Θ
Θ06Χ,Επεμβάσεις του θυρεοειδούς χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1581.00,2,266.23,Θ
Θ07Α,Επεμβάσεις για την παχυσαρκία,1276.00,3,256.23,Θ
Θ08Α,Επεμβάσεις θυρεογλωσσικές,952.00,1,50.29,Θ
Θ09Μ,"Λοιπές χειρουργικές επεμβάσεις για ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",4895.00,19,267.34,Θ
Θ09Χα,"Λοιπές χειρουργικές επεμβάσεις για ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",2080.00,7,165.49,Θ
Θ09Χβ,"Άλλες Ενδοκρινολογικές, θρεπτικών και μεταβολικές επεμβάσεις χωρίς σοβαρές και μετριοπαθή συνυπάρχουσες παθήσεις - επιπλοκές",1765.00,3,63.55,Θ
Θ20Μ,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4296.00,18,179.61,Θ
Θ20Χ,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1580.00,7,205.66,Θ
Θ20Α,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες την ίδια ημέρα,297.00,1,174.62,Θ
Θ20Μ,Διαβήτης με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1735.00,8,160.51,Θ
Θ20Χ,Διαβήτης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,731.00,3,62.90,Θ
Θ21Α,Σοβαρές διατροφικές διαταραχές,2599.00,12,116.76,Θ
Θ22Μ,Διάφορες δυσλειτουργίες του μεταβολισμού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1393.00,7,82.75,Θ
Θ22Χ,Διάφορες δυσλειτουργίες του μεταβολισμού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,482.00,2,122.01,Θ
Θ23Μ,Συγγενή ασθένειες του μεταβολισμού με συνυπάρχουσες παθήσεις - επιπλοκές,1074.00,4,270.21,Θ
Θ23Χ,Συγγενή ασθένειες του μεταβολισμού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,405.00,2,171.18,Θ
Θ24Μ,Ενδοκρινολογικές δυσλειτουργίες με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1829.00,9,57.22,Θ
Θ24Χ,Ενδοκρινολογικές δυσλειτουργίες χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,669.00,2,207.51,Θ
Υ02Μ,Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3111.00,10,249.83,Υ
Υ02Χ,Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1189.00,2,227.45,Υ
Υ03Μα,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές",6431.00,15,127.69,Υ
Υ03Μβ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",4426.00,9,53.42,Υ
Υ03Χ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",2992.00,5,152.00,Υ
Υ04Μ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές",4355.00,15,106.18,Υ
Υ04Χα,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",2361.00,7,260.35,Υ
Υ04Χβ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",1605.00,3,78.37,Υ
Υ05Μ,Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2848.00,11,286.77,Υ
Υ05Χ,Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1000.00,3,211.93,Υ
Υ06Μ,Μικρές επεμβάσεις Ουροδοχου κυστεως με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2381.00,9,88.49,Υ
Υ06Χ,Μικρές επεμβάσεις Ουροδοχου κυστεως χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,808.00,2,283.16,Υ
Υ07Μ,Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1218.00,5,122.97,Υ
Υ07Χ,Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,680.00,1,226.35,Υ
Υ08Μ,Επεμβάσεις ουρήθρας με συνυπάρχουσες παθήσεις – επιπλοκές,1271.00,5,153.87,Υ
Υ08Χ,Επεμβάσεις ουρήθρας χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,631.00,2,170.62,Υ
Υ09Μ,Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,4729.00,17,168.05,Υ
Υ09Χα,Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1919.00,4,164.20,Υ
Υ09Χβ,Άλλες επεμβάσεις στα νεφρά και το ουροποιητικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1035.00,2,86.16,Υ
Υ20Α,Ουρηθροσκόπηση,767.00,2,97.65,Υ
Υ21Α,Ουρηθροσκόπηση σε μία ημέρα,231.00,1,199.84,Υ
Υ22Α,Εξωσωματική λιθοτριψία για λίθους του ουροποιητικού,482.00,1,236.57,Υ
Υ20Μα,Νεφρική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,2934.00,12,84.13,Υ
Υ20Μβ,Νεφρική ανεπάρκεια με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1300.00,6,67.45,Υ
Υ20Χ,Νεφρική ανεπάρκεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,584.00,3,243.17,Υ
Υ21Α,Αιμοκάθαρση,136.00,1,263.60,Υ
Υ22Μ,Νεοπλάσματα νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1471.00,7,134.97,Υ
Υ22Χ,Νεοπλάσματα νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,545.00,2,246.93,Υ
Υ23Μ,Λοιμώξεις νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1564.00,8,116.79,Υ
Υ23Χ,Λοιμώξεις νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,560.00,3,50.64,Υ
Υ24Α,Λιθίαση ουροποιητικού και απόφραξη,389.00,2,231.51,Υ
Υ25Μ,Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1128.00,6,259.37,Υ
Υ25Χ,Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,405.00,2,194.98,Υ
