drug_id,ema_code,name,manufacturer
1597,EMA-001597,Exenadil,Target Pharma Single Member Private Ltd
1598,EMA-001598,Exeret,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
1599,EMA-001599,Exocin,Abbvie Pharmaceuticals S.A.
1600,EMA-001600,Exopon,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
1601,EMA-001601,Exorex Lotion,Castalia Laboratoires Dermatologiques S.A.
1602,EMA-001602,Exostrept,Naturalia S.A.
1603,EMA-001603,Expectein,Venifar Ltd
1604,EMA-001604,Extement,Genepharm S.A.
1605,EMA-001605,Extraneal,Vantive Belgium
1606,EMA-001606,Extraneal Icodextrin,Vantive Belgium
1607,EMA-001607,Extrastatin,Sja Pharm Ltd
1608,EMA-001608,Extrator-S,Sja Pharm Ltd
1609,EMA-001609,Eyesalt,Cooper Pharmaceuticals S.A.
1610,EMA-001610,Eyetobrin,Cooper Pharmaceuticals S.A.
1611,EMA-001611,Eyopto,Pharmathen S.A.
1612,EMA-001612,Ezefril/Heremco,Heremco
1613,EMA-001613,Ezegros,Medical Pharmaquality Pharmaceuticals S.A.
1614,EMA-001614,Ezetiben,Bennett Pharmaceuticals Sa
1615,EMA-001615,Ezetimib/Simvastatin Mylan,Mylan Pharmaceuticals Limited
1616,EMA-001616,Ezetimibe + Atorvastatin Genepharm,Genepharm S.A.
1617,EMA-001617,Ezetimibe + Atorvastatin Rafarm,Rafarm Sa.
1618,EMA-001618,Ezetimibe Mylan,Mylan Pharmaceuticals Limited
1619,EMA-001619,Ezetimibe Sandoz,Sandoz Gmbh
1620,EMA-001620,Ezetimibe Velka,Velka Hellas S.A.
1621,EMA-001621,Ezetimibe/Simvastatin Genepharm,Genepharm S.A.
1622,EMA-001622,Ezetimibe+atorvastatin Aenorasis,Aenorasis S.A.
1623,EMA-001623,Ezetimibe+atorvastatin Hemopharm,Hemopharm Gmbh
1624,EMA-001624,Ezetimibe+simvastatin Sandoz,Sandoz Pharmaceuticals D.D.
1625,EMA-001625,Ezetrol,N.V. Organon
1626,EMA-001626,Eziclen,Mayoly Pharma France
1627,EMA-001627,Ezipol,Kleva Pharmaceuticals
1628,EMA-001628,Ezixin,Bausch + Lomb Ireland Limited
1629,EMA-001629,Ezumycin,Rafarm Sa.
1630,EMA-001630,Fadisa,Elpen Pharmaceutical Co. Inc.
1631,EMA-001631,Falipan,Demo Abee
1632,EMA-001632,Famcilet,Pharmapath Sa
1633,EMA-001633,Famotidine Beλκα Ελλασ,Velka Hellas S.A.
1634,EMA-001634,Fampridine Sandoz,Sandoz Pharmaceuticals D.D.
1635,EMA-001635,Fampridine Stada,Stada Arzneimittel Ag
1636,EMA-001636,Fampridine Viatris,Viatris Limited
1637,EMA-001637,Famvir,Phoenix Labs
1638,EMA-001638,Fanhdi,Demo Abee
1639,EMA-001639,Fanolit,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
1640,EMA-001640,Fantersol,Proel Epam G Koronis Sa Pharmaceuticals
1641,EMA-001641,Farcef,Bennett Pharmaceuticals Sa
1642,EMA-001642,Farcef,Bennett Pharmaceuticals Sa
1643,EMA-001643,Faremio,Demo Abee
1644,EMA-001644,Farlipid,Mediapharm Ltd
1645,EMA-001645,Farlipid,Mediapharm Ltd
1646,EMA-001646,Farmelox,Venifar Ltd
1647,EMA-001647,Farmelox,Venifar Ltd
1648,EMA-001648,Farmemax,Mediapharm Ltd
1649,EMA-001649,Farmorubicin,Pfizer Hellas A.E.
1650,EMA-001650,Farviron,Mediapharm Ltd
1651,EMA-001651,Faxiven,Innovis Pharma
1652,EMA-001652,Feboral,Win Medica Sa
1653,EMA-001653,Febuxostat Genepharm,Genepharm S.A.
1654,EMA-001654,Febuxostat Pharos,Pharos - Pharmaceutical Oriented Services Limited
1655,EMA-001655,Fedolen,Viofar Ltd
1656,EMA-001656,Feiba,Baxalta Innovations Gmbh
1657,EMA-001657,Feldene,Pfizer Hellas A.E.
1658,EMA-001658,Feliselin,Rafarm Sa.
1659,EMA-001659,Felusil,Vita Longa I.K.E.
1660,EMA-001660,Femaplex,Genepharm S.A.
1661,EMA-001661,Femara,Novartis (Hellas) S.A.C.I.
1662,EMA-001662,Femaston,Theramex Ireland Limited
1663,EMA-001663,Femazac,Pharmazac Sa
1664,EMA-001664,Feminella,Viofar Ltd
1665,EMA-001665,Fenaraze,Help Abee
1666,EMA-001666,Fenedim,Ariti Sa
1667,EMA-001667,Fenimezyl,Nassington Ltd
1668,EMA-001668,Fenimezyl,Nassington Ltd
1669,EMA-001669,Fenistil,Haleon Hellas Single Member Societe Anonyme
1670,EMA-001670,Fenivir,Omega Pharma Hellas S.A.
1671,EMA-001671,Fenivir Tinted®,Omega Pharma Hellas S.A.
1672,EMA-001672,Fenobrat,Bausch Health Ireland Limited
1673,EMA-001673,Fenoclof,Marti Farm D.O.O.
1674,EMA-001674,Fentadur,Lavipharm S.A
1675,EMA-001675,Fentanyl Demo,Demo Abee
1676,EMA-001676,Fentanyl Kalceks,Kalceks
1677,EMA-001677,Fentanyl Sandoz,Sandoz Pharmaceuticals D.D.
1678,EMA-001678,Fenzyvag,Nassington Ltd
1679,EMA-001679,Feofol,Vianex S.A.
1680,EMA-001680,Feple,Ariti Sa
1681,EMA-001681,Fer De Far,Mediapharm Ltd
1682,EMA-001682,Feragluc,Velka Hellas S.A.
1683,EMA-001683,Feralice,Pharmex S.A.
1684,EMA-001684,Ferant,Medochemie Hellas Sa
1685,EMA-001685,Ferdiv,Cross Pharmaceuticals P.C.
1686,EMA-001686,Feremazol,Remedica Ltd
1687,EMA-001687,Fergon,Vianex S.A.
1688,EMA-001688,Ferinject,Vifor France
1689,EMA-001689,Fero Verisfield,Verisfield S.M.S.A
1690,EMA-001690,Fero-Folic,Teofarma S.R.L.
1691,EMA-001691,Ferolib,Libytec Pharmaceutical S.A.
1692,EMA-001692,Ferosac,Heremco
1693,EMA-001693,Ferreluc,Medical Pharmaquality Pharmaceuticals S.A.
1694,EMA-001694,Ferretti,Viofar Ltd
1695,EMA-001695,Ferric Carboxymaltose Sandoz,Sandoz Pharmaceuticals D.D.
1696,EMA-001696,Ferric Carboxymaltose Teva,Teva B.V
1697,EMA-001697,Ferric Hydroxide Polymaltose Complex Help,Help Abee
1698,EMA-001698,Ferrinemia,Help Abee
1699,EMA-001699,Ferrnat,Vocate Φαρμακευτικη Αε
1700,EMA-001700,Ferro Duodenal Sanol,Ucb Pharma Gmbh
1701,EMA-001701,Ferrobest Oral,"Lyofin Ltd, Greece"
1702,EMA-001702,Ferrobival,Bennett Pharmaceuticals Sa
1703,EMA-001703,Ferro-Data,Medi Trans
1704,EMA-001704,Ferrodue,"Lyofin Ltd, Greece"
1705,EMA-001705,Ferroprol,Novendia Pharmaceuticals Ltd
1706,EMA-001706,Ferrovin,Rafarm Sa.
1707,EMA-001707,Ferruten,Anfarm Hellas Sa
1708,EMA-001708,Fesoterodine Ariti,Ariti Sa
1709,EMA-001709,Fiarat,Nassington Ltd
1710,EMA-001710,Fibclot,Laboratoire Francais Du Fractionnement Et Des Biotechnologies
1711,EMA-001711,Fibrolip,Anfarm Hellas Sa
1712,EMA-001712,Filicine,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
1713,EMA-001713,Filosept®,Viofar Ltd
1714,EMA-001714,Finar,Pharmapath Sa
1715,EMA-001715,Finastir,Genepharm S.A.
1716,EMA-001716,Finazil,Rafarm Sa.
1717,EMA-001717,Fineria,Medical Pharmaquality Pharmaceuticals S.A.
1718,EMA-001718,Fingolimod Adelco,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
1719,EMA-001719,Fingolimod Medochemie,Medochemie Hellas Sa
1720,EMA-001720,Fingolimod Pharmathen,Pharmathen S.A.
1721,EMA-001721,Fingolimod Rafarm,Rafarm Sa.
1722,EMA-001722,Fingolimod Stada,Stada Arzneimittel Ag
1723,EMA-001723,Fingolya,Elpen Pharmaceutical Co. Inc.
1724,EMA-001724,Finicort,Gabriel Health
1725,EMA-001725,Finomel,Baxter Hellas
1726,EMA-001726,Finomel Peri,Baxter Hellas
1727,EMA-001727,Finrina,Genepharm S.A.
1728,EMA-001728,Fisiotens,Viatris Healthcare Limited
1729,EMA-001729,Fisterid,Bennett Pharmaceuticals Sa
1730,EMA-001730,Fixaprost,Laboratoires Thea
1731,EMA-001731,Fladalgin,Proel Epam G Koronis Sa Pharmaceuticals
1732,EMA-001732,Flagyl,Lavipharm S.A
1733,EMA-001733,Flagymet,Verisfield S.M.S.A
1734,EMA-001734,Flagymet,Verisfield S.M.S.A
1735,EMA-001735,Flagymet Duo,Verisfield S.M.S.A
1736,EMA-001736,Flagymet Duo,Verisfield S.M.S.A
1737,EMA-001737,Flanygrame,Nassington Ltd
1738,EMA-001738,Flashium,Verisfield S.M.S.A
1739,EMA-001739,Flaxidel,Libytec Pharmaceutical S.A.
1740,EMA-001740,Flecainide/Flexmed,Flexmed Technologies & Innovations I.K.E
1741,EMA-001741,Flecardia,Win Medica Sa
1742,EMA-001742,Flecardia,Win Medica Sa
1743,EMA-001743,Flecarythm,Galenica Sa
1744,EMA-001744,Fleelaxat,Cooper Pharmaceuticals S.A.
1745,EMA-001745,Flefarmin,D.A.S.T. Biotech Pharm Ltd
1746,EMA-001746,Flefarmin,D.A.S.T. Biotech Pharm Ltd
1747,EMA-001747,Flenazole,Target Pharma Single Member Private Ltd
1748,EMA-001748,Flevion,Medicus A.E
1749,EMA-001749,Flexbumin,Baxalta Innovations Gmbh
1750,EMA-001750,Flexelite,Bros Ltd
1751,EMA-001751,Flexelite,Bros Ltd
1752,EMA-001752,Flihaler,D.A.S.T. Biotech Pharm Ltd
1753,EMA-001753,Flixan,Pharmathen S.A.
1754,EMA-001754,Flixocort,Medicair Bioscience Laboratories Cy Ltd
1755,EMA-001755,Flixocort,Medicair Bioscience Laboratories Cy Ltd
1756,EMA-001756,Flixocort,Medicair Bioscience Laboratories Cy Ltd
1757,EMA-001757,Flixocort,Medicair Bioscience Laboratories Cy Ltd
1758,EMA-001758,Flixotide,Glaxosmithkline Single Member A.E.B.E.
1759,EMA-001759,Flixotide,Glaxosmithkline Single Member A.E.B.E.
1760,EMA-001760,Flociprin,"Lyofin Ltd, Greece"
1761,EMA-001761,Flogostop,D.A.S.T. Biotech Pharm Ltd
1762,EMA-001762,Flogozyme,Target Pharma Single Member Private Ltd
1763,EMA-001763,Flonital,Anfarm Hellas Sa
1764,EMA-001764,Floxitard,Medicus A.E
1765,EMA-001765,Fluarix Tetra,Glaxosmithkline Biologicals S.A.
1766,EMA-001766,Fluarix Tetra,Glaxosmithkline Biologicals S.A.
1767,EMA-001767,Flucalit,Rafarm Sa.
1768,EMA-001768,Flucalit,Rafarm Sa.
1769,EMA-001769,Flucanid,Anfarm Hellas Sa
1770,EMA-001770,Flucanid,Anfarm Hellas Sa
