ΚΩΔΙΚ. ΚΕΝ (*),ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ,ΜΔΝ (*)
Μ28Μ,Λοιπές επεμβάσεις μυοσκελετικού με συνυπάρχουσες παθήσεις - επιπλοκές,2.639€,11
Μ28Χ,Λοιπές επεμβάσεις μυοσκελετικού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1.379€,2
Μ29Α,Ανακατασκευή ή αναθεώρηση πρόθεσης γόνατος,1.903€,1
Μ30Α,Επεμβάσεις χειρός,891€,1
Μ31Μ,Επανεπεμβαση Ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,11.675€,23
Μ31Χ,Επανεπεμβαση Ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,8.533€,11
Μ32Μα,Επανεπεμβαση γόνατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,12.912€,27
Μ32Μβ,Επανεπεμβαση γόνατος με συνυπάρχουσες παθήσεις - επιπλοκές,9.963€,12
Μ32Χ,Επανεπεμβαση γόνατος χωρίς καταστροφικές η συνυπάρχουσες παθήσεις - επιπλοκές,9.147€,9
Μ60Α,Κατάγματα διάφυσης μηριαίου,1.720€,7
Μ61Μ,Κατάγματα περιφερικού μηριαίου με συνυπάρχουσες παθήσεις - επιπλοκές,2.210€,13
Μ61Χ,Κατάγματα περιφερικού μηριαίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,856€,4
Μ63Μ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού με συνυπάρχουσες παθήσεις - επιπλοκές",1.198€,7
Μ63Χ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",444€,2
Μ64Μ,Οστεομυελίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.669€,15
Μ64Χ,Οστεομυελίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.175€,8
Μ65Μ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2.560€,12
Μ65Χ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1.222€,5
Μ66Μ,Φλεγμονώδεις παθήσεις μυοσκελετικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.436€,10
Μ66Χ,Φλεγμονώδεις παθήσεις μυοσκελετικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,652€,2
Μ67Μ,Σηπτική αρθρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.428€,12
Μ67Χ,Σηπτική αρθρίτιδα με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,996€,7
Μ68Μ,Μη χειρουργικές σκελετικές παθήσεις με συνυπάρχουσες παθήσεις - επιπλοκές,1.712€,9
Μ68Χ,Μη χειρουργικές παθήσεις νωτιαιου σωλήνα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,731€,4
Μ68Α,Μη χειρουργικές παθήσεις νωτιαιου σωλήνα μιας ημέρας θεραπειών,151€,1
Μ69Μ,Παθήσεις οστών και αρθροπάθειες με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.533€,9
Μ69Χ,Παθήσεις οστών και αρθροπάθειες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,428€,2
Μ71Μ,Λοιπές παθήσεις μυών-τενόντων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.323€,7
Μ71Χ,Λοιπές παθήσεις μυών-τενόντων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,405€,2
Μ72Μ,Ειδικές παθήσεις μυών - τενόντων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.681€,9
Μ72Χ,Ειδικές παθήσεις μυών - τενόντων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,490€,3
Μ73Μ,Μετεγχειρητική παρακολούθηση μυοσκελετικών μοσχευμάτων/ προθέσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.249€,18
Μ73Χ,Μετεγχειρητική παρακολούθηση μυοσκελετικών μοσχευμάτων/ προθέσεων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,584€,4
Μ74Α,"Κακώσεις αντιβραχίου καρπού, χειρός ή ποδός",350€,2
Μ75Μ,"Κάκωση ώμου, Βραχιονίου, αγκώνα, γόνατος, ποδιού ή αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές",1.455€,8
Μ75Χ,"Κάκωση ώμου, Βραχιονίου, αγκώνα, γόνατος, ποδιού ή αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",405€,2
Μ76Μ,Λοιπές μυοσκελετικές παθήσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.292€,7
Μ76Χ,Λοιπές μυοσκελετικές παθήσεις με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,389€,2
Μ77Μ,Κατάγματα λεκάνης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.257€,13
Μ77Χ,Κατάγματα λεκάνης με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.058€,6
Μ78Μ,Κατάγματα αυχένος του μηριαίου με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.463€,8
Μ78Χ,Κατάγματα αυχένος του μηριαίου χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις ή επιπλοκές,475€,2
Μ79Μ,Παθολογικά κατάγματα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.942€,17
Μ79Χ,Παθολογικά κατάγματα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.370€,8
ΤΚΑ 09,"Παθήσεις και δυσλειτουργίες του δέρματος, υποδόριου ιστού και μαστού (Δ)",,
Δ01Μ,"Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος, υποδορίου ιστού και μαστού με καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",8.557€,15
Δ01Χ,"Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος, υποδορίου ιστού και μαστού χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",6.452€,9
Δ06Α,Μείζονες επεμβάσεις μαστού,1.383€,3
Δ07Α,Ελάσσονες επεμβάσεις μαστού,605€,1
Δ08Μ,Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός με συνυπάρχουσες παθήσεις – επιπλοκές,2.294€,11
Δ08Χ,Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,791€,2
Δ09Α,Περιοδικές επεμβάσεις και επεμβάσεις τριχοφωλεακού συριγγίου,688€,2
Δ10Α,"Χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού",672€,1
Δ11Α,"Άλλες χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού",404€,1
Δ12Μ,"Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",4.871€,23
Δ12Χα,"Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού",3.097€,13
Δ12Χβ,Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού,1.774€,8
Δ13Μ,Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ή με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού,2.856€,12
Δ13Χ,"Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές, χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού",915€,4
Δ14Α,Εκτεταμένη πλαστική αποκατάσταση στήθους,4.198€,8
Δ20Μ,Δερματικά έλκη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.669€,16
Δ20Χ,Δερματικά έλκη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.471€,9
Δ20Α,"Δερματικά έλκη, την ίδια ημέρα",171€,1
Δ22Μ,κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές,965€,5
Δ22Χ,κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,688€,2
Δ23Μ,μη-κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές,965€,5
Δ23Χ,μη-κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,366€,2
Δ24Μ,Κυτταρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.619€,9
Δ24Χ,Κυτταρίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,802€,4
Δ25Μ,"Τραύμα στο δέρμα , υποδορίου και του μαστού με καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",1.105€,6
Δ25Χ,"Τραύμα στο δέρμα , υποδορίου και του μαστού χωρίς καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",350€,2
Δ27Μ,Ελάσσονες παθήσεις του δέρματος,708€,3
Δ27Χ,Ελάσσονες παθήσεις του δέρματος την ίδια ημέρα,199€,1
Δ28Μ,Μείζονες παθήσεις με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.969€,10
Δ28Χ,Μείζονες παθήσεις χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,965€,4
Δ28Α,Μείζονες (μεγάλης βαρύτητας) παθήσεις την ίδια ημέρα,382€,1
Δ29Μ,Κακοήθειες του δέρματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.171€,11
Δ29Χ,Κακοήθειες του δέρματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.377€,7
Δ29Α,Κακοήθειες του δέρματος την ίδια ημέρα,161€,1
ΤΚΑ 10,"Ενδοκρινολογικές, θρεπτικές και μεταβολικές παθήσεις και δυσλειτουργίες (Θ)",,
Θ01Μ,Διαβητικες επιπλοκές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6.202€,27
Θ01Χ,Διαβητικες επιπλοκες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.801€,12
Θ02Μ,Επεμβάσεις υποφύσεως με συνυπάρχουσες παθήσεις - επιπλοκές,5.135€,10
Θ02Χ,Επεμβάσεις υποφύσεως χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,3.515€,6
Θ03Α,Επεμβάσεις επινεφριδίου,3.297€,6
Θ04Μ,Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια με συνυπάρχουσες παθήσεις - επιπλοκές,4.378€,8
Θ04Χ,Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,2.848€,2
Θ05Μ,Επεμβάσεις παραθυρεοειδών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.587€,8
Θ05Χ,Επεμβάσεις παραθυρεοειδών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.218€,2
Θ06Μ,Επεμβάσεις του θυρεοειδούς με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.620€,5
Θ06Χ,Επεμβάσεις του θυρεοειδούς χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.581€,2
Θ07Α,Επεμβάσεις για την παχυσαρκία,1.276€,3
Θ08Α,Επεμβάσεις θυρεογλωσσικές,952€,1
Θ09Μ,"Λοιπές χειρουργικές επεμβάσεις για ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",4.895€,19
Θ09Χα,"Λοιπές χειρουργικές επεμβάσεις για ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",2.080€,7
Θ09Χβ,"Άλλες Ενδοκρινολογικές, θρεπτικών και μεταβολικές επεμβάσεις χωρίς σοβαρές και μετριοπαθή συνυπάρχουσες παθήσεις - επιπλοκές",1.765€,3
Θ20Μ,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4.296€,18
Θ20Χ,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.580€,7
Θ20Α,Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες την ίδια ημέρα,297€,1
Θ20Μ,Διαβήτης με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.735€,8
Θ20Χ,Διαβήτης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,731€,3
Θ21Α,Σοβαρές διατροφικές διαταραχές,2.599€,12
Θ22Μ,Διάφορες δυσλειτουργίες του μεταβολισμού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.393€,7
Θ22Χ,Διάφορες δυσλειτουργίες του μεταβολισμού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,482€,2
Θ23Μ,Συγγενή ασθένειες του μεταβολισμού με συνυπάρχουσες παθήσεις - επιπλοκές,1.074€,4
Θ23Χ,Συγγενή ασθένειες του μεταβολισμού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,405€,2
Θ24Μ,Ενδοκρινολογικές δυσλειτουργίες με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.829€,9
Θ24Χ,Ενδοκρινολογικές δυσλειτουργίες χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,669€,2
ΤΚΑ 11,Παθήσεις και δυσλειτουργίες νεφρού και ουροποιητικού συστήματος (Υ),,
Υ02Μ,Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3.111€,10
Υ02Χ,Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.189€,2
Υ03Μα,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές",6.431€,15
Υ03Μβ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",4.426€,9
Υ03Χ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",2.992€,5
Υ04Μ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές",4.355€,15
Υ04Χα,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",2.361€,7
Υ04Χβ,"Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",1.605€,3
Υ05Μ,Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.848€,11
Υ05Χ,Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.000€,3
Υ06Μ,Μικρές επεμβάσεις Ουροδοχου κυστεως με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.381€,9
Υ06Χ,Μικρές επεμβάσεις Ουροδοχου κυστεως χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,808€,2
Υ07Μ,Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.218€,5
Υ07Χ,Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,680€,1
Υ08Μ,Επεμβάσεις ουρήθρας με συνυπάρχουσες παθήσεις – επιπλοκές,1.271€,5
Υ08Χ,Επεμβάσεις ουρήθρας χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,631€,2
Υ09Μ,Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,4.729€,17
Υ09Χα,Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.919€,4
Υ09Χβ,Άλλες επεμβάσεις στα νεφρά και το ουροποιητικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.035€,2
Υ20Α,Ουρηθροσκόπηση,767€,2
Υ21Α,Ουρηθροσκόπηση σε μία ημέρα,231€,1
Υ22Α,Εξωσωματική λιθοτριψία για λίθους του ουροποιητικού,482€,1
Υ20Μα,Νεφρική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,2.934€,12
Υ20Μβ,Νεφρική ανεπάρκεια με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.300€,6
Υ20Χ,Νεφρική ανεπάρκεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,584€,3
Υ21Α,Αιμοκάθαρση,136€,1
Υ22Μ,Νεοπλάσματα νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.471€,7
Υ22Χ,Νεοπλάσματα νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,545€,2
Υ23Μ,Λοιμώξεις νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.564€,8
Υ23Χ,Λοιμώξεις νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,560€,3
Υ24Α,Λιθίαση ουροποιητικού και απόφραξη,389€,2
Υ25Μ,Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.128€,6
Υ25Χ,Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,405€,2
Υ26Α,Στενώματα ουρήθρας,440€,2
Υ27Μ,Λοιπές διαγνώσεις των νεφρών και του ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.673€,7
Υ27Χ,Λοιπές διαγνώσεις των νεφρών και του ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,358€,2
Υ28Α,Περιτοναϊκή κάθαρση,296€,1
ΤΚΑ 12,Ασθένειες και δυσλειτουργίες του ανδρικού αναπαραγωγικού συτήματος (Β),,
Β01Μ,Μείζονες ανδρικές πυελικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3.553€,8
Β01Χ,Μείζονες ανδρικές πυελικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.892€,4
Β02Μ,Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές,1.719€,7
Β02Χ,Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές,1.007€,3
Β03Α,Επεμβάσεις Πέους,771€,2
Β04Α,Επεμβάσεις όρχεων,652€,1
Β05Α,Περιτομή,458€,1
Β06Μ,Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.930€,6
Β06Χ,Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.659€,2
Β10Α,"Κυστεοσκόπηση, την ίδια ημέρα",220€,1
Β20Μ,Κακοήθεια του αντρικού αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.323€,7
Β20Χ,Κακοήθεια του αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,413€,2
Β21Α,Καλοήθης υπερτροφία προστάτη,459€,2
Β22Α,Φλεγμονή του αντρικού αναπαραγωγικού συστήματος,545€,3
Β23Α,Αντρική στείρωση,316€,1
Β24Α,Άλλη διάγνωση αντρικού αναπαραγωγικού συστήματος,296€,1
ΤΚΑ 13,Παθήσεις και διαταραχές του γυναικείου αναπαραγωγικού συστήματος (Γ),,
Γ01Α,Πυελική εξπλάχνιση και ριζική βουλβεκτομή,2.964€,8
Γ04Μ,Υστερεκτομή για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.062€,5
Γ04Χ,Υστερεκτομή για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.525€,3
Γ05Μ,Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.147€,6
Γ05Χ,Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.374€,2
Γ06Μ,Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.649€,4
Γ06Χ,Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.264€,2
Γ07Α,Λοιπές επεμβάσεις μήτρας και εξαρτημάτων για μη κακοήθεια,742€,1
Γ08Α,Ενδοσκοπικές και λαπαροσκοπικές Επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα,719€,1
Γ09Α,"Επεμβάσεις αΐδιου, τραχήλου και κόλπου",418€,2
Γ10Α,Διαγνωστική υστεροσκόπηση απόξεση,425€,1
Γ11Α,Άλλες επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα,729€,3
Γ12Μ,Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3.576€,9
Γ12Χ,Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.963€,4
Γ20Μ,Κακοήθεια γυναικείου αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.969€,9
Γ20Χ,Κακοήθεια γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,755€,3
Γ21Α,Λοιμώξεις του γυναικείου αναπαραγωγικού συστήματος,475€,2
Γ22Α,Διαταραχές εμμήνου ρύσεως και άλλες διαταραχές του γυναικείου αναπαραγωγικού συστήματος,257€,1
ΤΚΑ 14,"Εγκυμοσύνη, γέννηση και λοχία (Λ)",,
Λ01Μ,Τοκετός με καισαρική τομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.171€,7
Λ01Χ,Τοκετός με καισαρική τομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.541€,4
Λ02Μ,Κολπικός τοκετός με παρέμβαση στο χειρουργείο με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.743€,4
Λ02Χ,Κολπικός τοκετός με επέμβαση στο χειρουργείο χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.175€,3
Λ03Μ,Έκτοπη κύηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.249€,3
Λ03Χ,Έκτοπη κύηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,886€,2
Λ04Μ,Επέμβαση στο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.807€,5
Λ04Χ,Επέμβαση σο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,571€,2
Λ05Α,Άμβλωση με χειρουργική επέμβαση,334€,1
Λ20Α,Κολπικός τοκετός,872€,3
Λ21Α,Μετά τοκετός άμβλωση χωρίς χειρουργική επέμβαση,420€,2
Λ23Α,Άμβλωση χωρίς επέμβαση στο χειρουργείο,265€,1
Λ24Α,Αποβολή,288€,2
Λ26Α,Προγεννητική και άλλη μαιευτική εισαγωγή,257€,2
ΤΚΑ 15,Νεογέννητα και άλλα νεογνά (Τ),,
Τ01Α,Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή με σημαντικές χειρουργικές επεμβάσεις,1.381€,1
Τ02Α,Καρδιοθωρακική / αγγειοχειρουργική επέμβαση σε νεογνά,20.279€,23
